Timestamp,Price,Volume,time_bin,Hour,Minute
1970-01-01 00:02:16.555000000,266,5,0,0,2
1970-01-01 00:02:19.128000000,266,2,0,0,2
1970-01-01 00:02:24.212000000,263,1,0,0,2
1970-01-01 00:02:24.956000000,264,1,0,0,2
1970-01-01 00:02:26.661000000,266,1,0,0,2
1970-01-01 00:02:26.661000000,264,3,0,0,2
1970-01-01 00:02:29.606000000,263,1,0,0,2
1970-01-01 00:02:31.590000000,263,2,0,0,2
1970-01-01 00:02:31.590000000,261,2,0,0,2
1970-01-01 00:02:32.241000000,268,2,0,0,2
1970-01-01 00:02:34.938000000,261,2,0,0,2
1970-01-01 00:02:34.938000000,259,1,0,0,2
1970-01-01 00:02:34.938000000,259,2,0,0,2
1970-01-01 00:02:35.837000000,259,1,0,0,2
1970-01-01 00:02:37.387000000,258,1,0,0,2
1970-01-01 00:02:37.387000000,259,1,0,0,2
1970-01-01 00:02:39.526000000,263,2,0,0,2
1970-01-01 00:02:39.619000000,263,2,0,0,2
1970-01-01 00:02:39.619000000,257,1,0,0,2
1970-01-01 00:02:39.619000000,250,1,0,0,2
1970-01-01 00:02:40.735000000,263,2,0,0,2
1970-01-01 00:02:41.510000000,262,3,0,0,2
1970-01-01 00:02:42.254000000,265,3,0,0,2
1970-01-01 00:02:46.594000000,263,1,0,0,2
1970-01-01 00:02:47.741000000,263,4,0,0,2
1970-01-01 00:02:49.942000000,262,2,0,0,2
1970-01-01 00:02:53.259000000,265,3,0,0,2
1970-01-01 00:02:53.817000000,265,5,0,0,2
1970-01-01 00:02:54.406000000,266,5,0,0,2
1970-01-01 00:02:55.119000000,267,1,0,0,2
1970-01-01 00:02:55.460000000,266,1,0,0,2
1970-01-01 00:02:56.886000000,266,3,0,0,2
1970-01-01 00:03:01.257000000,269,2,0,0,3
1970-01-01 00:03:02.993000000,269,2,0,0,3
1970-01-01 00:03:02.993000000,266,2,0,0,3
1970-01-01 00:03:05.907000000,266,2,0,0,3
1970-01-01 00:03:06.279000000,266,2,0,0,3
1970-01-01 00:03:06.465000000,263,1,0,0,3
1970-01-01 00:03:06.465000000,261,3,0,0,3
1970-01-01 00:03:07.178000000,268,1,0,0,3
1970-01-01 00:03:10.495000000,263,1,0,0,3
1970-01-01 00:03:13.316000000,263,1,0,0,3
1970-01-01 00:03:13.316000000,261,2,0,0,3
1970-01-01 00:03:15.734000000,261,3,0,0,3
1970-01-01 00:03:17.036000000,259,2,0,0,3
1970-01-01 00:03:17.160000000,259,4,0,0,3
1970-01-01 00:03:17.346000000,259,1,0,0,3
1970-01-01 00:03:17.842000000,261,4,0,0,3
1970-01-01 00:03:18.648000000,261,2,0,0,3
1970-01-01 00:03:18.927000000,261,1,0,0,3
1970-01-01 00:03:21.438000000,263,2,0,0,3
1970-01-01 00:03:23.143000000,260,1,0,0,3
1970-01-01 00:03:23.825000000,260,2,0,0,3
1970-01-01 00:03:23.825000000,258,1,0,0,3
1970-01-01 00:03:24.042000000,261,2,0,0,3
1970-01-01 00:03:33.528000000,268,1,0,0,3
1970-01-01 00:03:33.528000000,267,3,0,0,3
1970-01-01 00:03:35.698000000,267,1,0,0,3
1970-01-01 00:03:35.915000000,267,3,0,0,3
1970-01-01 00:03:38.984000000,267,1,0,0,3
1970-01-01 00:03:38.984000000,265,1,0,0,3
1970-01-01 00:03:38.984000000,262,1,0,0,3
1970-01-01 00:03:39.418000000,262,3,0,0,3
1970-01-01 00:03:39.418000000,260,2,0,0,3
1970-01-01 00:03:40.472000000,261,1,0,0,3
1970-01-01 00:03:41.185000000,260,1,0,0,3
1970-01-01 00:03:43.913000000,267,1,0,0,3
1970-01-01 00:03:44.316000000,266,4,0,0,3
1970-01-01 00:03:44.378000000,266,3,0,0,3
1970-01-01 00:03:44.378000000,264,1,0,0,3
1970-01-01 00:03:46.052000000,264,2,0,0,3
1970-01-01 00:03:51.694000000,260,1,0,0,3
1970-01-01 00:03:52.190000000,259,1,0,0,3
1970-01-01 00:03:53.213000000,259,4,0,0,3
1970-01-01 00:03:58.142000000,264,4,0,0,3
1970-01-01 00:03:58.142000000,263,1,0,0,3
1970-01-01 00:03:59.289000000,261,2,0,0,3
1970-01-01 00:04:01.552000000,261,3,0,0,4
1970-01-01 00:04:02.203000000,260,1,0,0,4
1970-01-01 00:04:02.420000000,260,5,0,0,4
1970-01-01 00:04:02.451000000,261,1,0,0,4
1970-01-01 00:04:04.280000000,258,3,0,0,4
1970-01-01 00:04:04.280000000,258,2,0,0,4
1970-01-01 00:04:06.078000000,265,2,0,0,4
1970-01-01 00:04:10.046000000,262,3,0,0,4
1970-01-01 00:04:11.534000000,263,1,0,0,4
1970-01-01 00:04:11.534000000,262,2,0,0,4
1970-01-01 00:04:12.092000000,263,1,0,0,4
1970-01-01 00:04:19.005000000,269,1,0,0,4
1970-01-01 00:04:21.019999999,266,2,0,0,4
1970-01-01 00:04:21.454000000,266,1,0,0,4
1970-01-01 00:04:21.702000000,263,1,0,0,4
1970-01-01 00:04:22.353000000,263,2,0,0,4
1970-01-01 00:04:22.539000000,263,1,0,0,4
1970-01-01 00:04:23.035000000,263,4,0,0,4
1970-01-01 00:04:23.314000000,263,4,0,0,4
1970-01-01 00:04:29.266000000,263,2,0,0,4
1970-01-01 00:04:30.909000000,263,1,0,0,4
1970-01-01 00:04:31.684000000,261,2,0,0,4
1970-01-01 00:04:32.954999999,260,3,0,0,4
1970-01-01 00:04:33.730000000,260,4,0,0,4
1970-01-01 00:04:33.978000000,261,3,0,0,4
1970-01-01 00:04:38.101000000,264,1,0,0,4
1970-01-01 00:04:40.953000000,264,1,0,0,4
1970-01-01 00:04:43.557000000,261,1,0,0,4
1970-01-01 00:04:43.805000000,264,1,0,0,4
1970-01-01 00:04:47.308000000,259,1,0,0,4
1970-01-01 00:04:48.796000000,262,1,0,0,4
1970-01-01 00:04:48.796000000,259,1,0,0,4
1970-01-01 00:04:48.951000000,266,1,0,0,4
1970-01-01 00:04:48.951000000,268,1,0,0,4
1970-01-01 00:04:48.951000000,270,1,0,0,4
1970-01-01 00:04:50.563000000,270,1,0,0,4
1970-01-01 00:04:53.756000000,268,5,0,0,4
1970-01-01 00:04:54.810000000,268,3,0,0,4
1970-01-01 00:04:54.810000000,267,1,0,0,4
1970-01-01 00:04:55.399000000,269,2,0,0,4
1970-01-01 00:04:59.150000000,269,1,0,0,4
1970-01-01 00:05:01.599000000,267,3,0,0,5
1970-01-01 00:05:01.599000000,263,1,0,0,5
1970-01-01 00:05:03.397000000,263,2,0,0,5
1970-01-01 00:05:04.079000000,263,4,0,0,5
1970-01-01 00:05:04.296000000,263,4,0,0,5
1970-01-01 00:05:04.451000000,263,1,0,0,5
1970-01-01 00:05:06.962000000,260,1,0,0,5
1970-01-01 00:05:07.055000000,261,1,0,0,5
1970-01-01 00:05:07.365000000,260,1,0,0,5
1970-01-01 00:05:08.853000000,269,1,0,0,5
1970-01-01 00:05:09.504000000,269,2,0,0,5
1970-01-01 00:05:11.488000000,265,2,0,0,5
